#options: 1920x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=3000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4000 vbv_bufsize=6000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:135 out:132 type:P dur:2 cpbdur:2 q:21.56 aq:5.73 tex:168018 mv:11583 misc:759 imb:126 pmb:890 smb:7144 d:s ref:0 ;
in:133 out:133 type:B dur:2 cpbdur:2 q:21.57 aq:13.12 tex:46660 mv:13101 misc:1279 imb:14 pmb:842 smb:7304 d:s ref:0 ;
in:132 out:134 type:b dur:2 cpbdur:2 q:21.57 aq:15.62 tex:22518 mv:9089 misc:1521 imb:20 pmb:657 smb:7483 d:s ref:0 ;
in:134 out:135 type:b dur:2 cpbdur:2 q:21.57 aq:19.97 tex:22304 mv:8640 misc:1528 imb:7 pmb:651 smb:7502 d:- ref:0 ;
in:138 out:136 type:P dur:2 cpbdur:2 q:21.78 aq:5.29 tex:142932 mv:10172 misc:736 imb:96 pmb:869 smb:7195 d:s ref:0 ;
in:136 out:137 type:B dur:2 cpbdur:2 q:21.80 aq:18.66 tex:28278 mv:10313 misc:1377 imb:6 pmb:675 smb:7479 d:s ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:21.80 aq:19.19 tex:18057 mv:8355 misc:1500 imb:4 pmb:625 smb:7531 d:- ref:0 ;
in:141 out:139 type:P dur:2 cpbdur:2 q:22.29 aq:6.43 tex:119617 mv:9443 misc:732 imb:82 pmb:818 smb:7260 d:s ref:0 ;
in:139 out:140 type:B dur:2 cpbdur:2 q:22.29 aq:18.09 tex:21635 mv:9445 misc:1464 imb:5 pmb:597 smb:7558 d:s ref:0 ;
in:140 out:141 type:b dur:2 cpbdur:2 q:22.29 aq:20.24 tex:13108 mv:7995 misc:1505 imb:5 pmb:546 smb:7609 d:- ref:0 ;
